Dev Name, Dev ID,       Date / Time [GMT],     Date / Time [Local],     Latitude,    Longitude, Altitude [m], Fix Status,  DOP, Temp [C], Main [V], Back [V]
5177Nelsn+,  80607,    05-09-2018  06:00:20,    05-09-2018  00:00:20,   43.1040386,  -89.9941772,       225.93, 4 or more SV KF     ,  3.8,     18.0,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  08:00:52,    05-09-2018  02:00:52,   43.1040658,  -89.9957497,       231.48, 4 or more SV KF     ,  1.8,     13.0,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  10:00:36,    05-09-2018  04:00:36,   43.1038983,  -89.9958111,       267.47, 4 or more SV KF     ,  1.8,     13.0,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  12:01:04,    05-09-2018  06:01:04,   43.1033636,  -89.9973589,       310.47, 3-D least-squares   ,  2.4,     13.0,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  14:00:20,    05-09-2018  08:00:20,   43.1035883,  -89.9978011,       295.49, 4 or more SV KF     ,  2.6,     13.5,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  16:01:10,    05-09-2018  10:01:10,             ,             ,             , 0                   ,  0.0,     17.0,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  18:01:10,    05-09-2018  12:01:10,             ,             ,             , 0                   ,  0.0,     24.0,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  20:00:58,    05-09-2018  14:00:58,   43.1051528,  -89.9979117,       288.32, 3-D least-squares   ,  2.0,     23.5,     0.00,     0.00
5177Nelsn+,  80607,    05-09-2018  22:00:34,    05-09-2018  16:00:34,   43.1051189,  -89.9960444,       260.15, 4 or more SV KF     ,  1.6,     22.0,     0.00,     0.00
5177Nelsn+,  80607,    05-10-2018  00:01:10,    05-09-2018  18:01:10,             ,             ,             , 0                   ,  0.0,     20.0,     0.00,     0.00
5177Nelsn+,  80607,    05-10-2018  02:01:09,    05-09-2018  20:01:09,   43.1028842,  -89.9972361,       219.55, 4 or more SV KF     ,  2.2,     17.0,     0.00,     0.00
5177Nelsn+,  80607,    05-10-2018  04:01:04,    05-09-2018  22:01:04,   43.1025067,  -89.9969658,       255.61, 4 or more SV KF     ,  1.8,     16.0,     0.00,     0.00
5177Nelsn+,  80607,    05-10-2018  06:00:37,    05-10-2018  00:00:37,   43.0997964,  -89.9906156,       265.63, 4 or more SV KF     ,  2.6,     13.5,     0.00,     0.00
5177Nelsn+,  80607,    05-10-2018  08:01:09,    05-10-2018  02:01:09,   43.1019731,  -89.9941775,       282.35, 4 or more SV KF     ,  2.0,     15.0,     0.00,     0.00
